name,today_high,today_low,today_volume,52_wk_volume,52_wk_high,52_wk_low,market_cap,beta,dividend_per_share,one_day_yield
BANR,57.80,56.29,"308,271","394,266",57.23,35.39,"1,935,375,866 ",0.93,0.23,0.4
BSBR,9.505,9.35,"1,380,003","1,365,958",9.115,3.02,"72,418,892,040 ",1.28,0.27,2.86
MA,106.75,104.86,"3,299,023","3,815,012",108.93,78.52,"117,974,179,399 ",1.31,0.22,0.21
ROP,186.43,184.45,"435,719","587,591",189.44,155.79,"18,794,743,103 ",1.05,0.35,0.19
SCVL,28.29,27.03,"97,227","138,944",31.79,20.98,"516,749,021 ",1.58,0.07,0.25
UVV,64.55,63.75,"260,777","175,047",64.20,49.95,"1,467,265,965 ",1.17,0.54,0.84
VGI,15.6899,15.48,"109,626","62,886",16.16,12.14,"175,879,945 ",0,0.156,1.0
ZF,12.12,11.94,"402,796","68,135",N/A,N/A,"204,770,856 ",0,0.361,3.01
ZTR,11.90,11.76,"379,033","79,328",12.49,10.61,"321,629,274 ",0,0.113,0.95
